element_id,guid,source,ifc_class,category,element_name,type_name,level,material,length_m,area_m2,volume_m3,quantity,unit,unit_price,total_cost,quantity_source,quality_status,raw_unit,raw_row_number,source_file,exception_tags
E-0001,GUID-0001,CSV,IfcBeam,Beam,梁-AA-001,IfcBeam-Standard,一层,,8.266,17.462,2.089,2.089,m³,,,CSV Schedule,Pass,m³,2,sample_elements.csv,missing_material
E-0002,GUID-0002,CSV,IfcColumn,Column,柱-AA-002,IfcColumn-Standard,二层,,2.121,29.478,0.365,0.365,m³,,,CSV Schedule,Pass,m³,3,sample_elements.csv,missing_material
E-0003,GUID-0003,CSV,IfcSlab,Slab,板-AA-003,IfcSlab-Standard,三层,,2.04,19.852,1.341,1.341,m³,,,CSV Schedule,Pass,m³,4,sample_elements.csv,missing_material
E-0004,GUID-0004,CSV,IfcWall,Wall,墙-AA-004,IfcWall-Standard,一层,,7.313,11.772,4.627,4.627,m³,,,CSV Schedule,Pass,m³,5,sample_elements.csv,missing_material
E-0005,GUID-0005,CSV,IfcDoor,Door,门-AA-005,IfcDoor-Standard,二层,,1.386,12.222,7.389,1.0,樘,,,CSV Schedule,Pass,樘,6,sample_elements.csv,missing_material
E-0006,GUID-0006,CSV,IfcWindow,Window,窗-AA-006,IfcWindow-Standard,,玻璃,11.696,23.755,3.978,1.0,樘,720.0,720.0,CSV Schedule,Pass,樘,7,sample_elements.csv,missing_level
E-0007,GUID-0007,CSV,IfcBeam,Beam,梁-AA-007,IfcBeam-Standard,,混凝土,6.267,29.291,0.986,0.986,m³,520.0,512.72,CSV Schedule,Pass,m³,8,sample_elements.csv,missing_level
E-0008,GUID-0008,CSV,IfcColumn,Column,柱-AA-008,IfcColumn-Standard,,混凝土,2.822,19.414,6.185,6.185,m³,560.0,3463.6,CSV Schedule,Pass,m³,9,sample_elements.csv,missing_level
E-0009,GUID-0009,CSV,IfcSlab,Slab,板-AA-009,IfcSlab-Standard,三层,混凝土,4.084,5.808,2.49,2.49,m³,480.0,1195.2,CSV Schedule,Pass,m³,10,sample_elements.csv,duplicate_guid
E-0010,GUID-0009,CSV,IfcWall,Wall,墙-AA-010,IfcWall-Standard,一层,混凝土,1.121,26.423,6.204,6.204,m³,430.0,2667.72,CSV Schedule,Pass,m³,11,sample_elements.csv,duplicate_guid
E-0011,GUID-0011,CSV,IfcDoor,Door,门-AA-011,IfcDoor-Standard,二层,木材,1.655,26.425,6.084,1.0,樘,860.0,860.0,CSV Schedule,Pass,樘,12,sample_elements.csv,duplicate_guid
E-0012,GUID-0011,CSV,IfcWindow,Window,窗-AA-012,IfcWindow-Standard,三层,玻璃,2.287,15.131,4.129,1.0,樘,720.0,720.0,CSV Schedule,Pass,樘,13,sample_elements.csv,duplicate_guid
E-0013,GUID-0013,CSV,IfcBeam,Beam,梁-AA-013,IfcBeam-Standard,一层,混凝土,7.571,21.035,0.0,0.0,m³,520.0,0.0,CSV Schedule,Pass,m³,14,sample_elements.csv,zero_volume
E-0014,GUID-0014,CSV,IfcColumn,Column,柱-AA-014,IfcColumn-Standard,二层,混凝土,8.938,2.099,0.0,0.0,m³,560.0,0.0,CSV Schedule,Pass,m³,15,sample_elements.csv,zero_volume
E-0015,GUID-0015,CSV,IfcSlab,Slab,板-AA-015,IfcSlab-Standard,三层,混凝土,4.896,5.899,0.0,0.0,m³,480.0,0.0,CSV Schedule,Pass,m³,16,sample_elements.csv,zero_volume
E-0016,GUID-0016,CSV,IfcWall,Wall,墙-AA-016,IfcWall-Standard,一层,混凝土,8.871,15.444,0.0,0.0,m³,430.0,0.0,CSV Schedule,Pass,m³,17,sample_elements.csv,zero_volume
E-0017,GUID-0017,CSV,IfcDoor,Door,INVALID,IfcDoor-Standard,二层,木材,11.311,4.686,4.997,1.0,樘,860.0,860.0,CSV Schedule,Pass,樘,18,sample_elements.csv,invalid_name
E-0018,GUID-0018,CSV,IfcWindow,Window,INVALID,IfcWindow-Standard,三层,玻璃,8.465,6.473,1.531,1.0,樘,720.0,720.0,CSV Schedule,Pass,樘,19,sample_elements.csv,invalid_name
